,F,F,F,F,F,GM,GM,GM,GM,GM,LCID,LCID,LCID,LCID,LCID,LI,LI,LI,LI,LI,TM,TM,TM,TM,TM,TSLA,TSLA,TSLA,TSLA,TSLA
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,136.73,137.29,136.09,136.4,301188.0,,,,,
2018-01-11 00:00:00-05:00,,,,,,,,,,,,,,,,,,,,,136.69,136.91,135.63,136.85,134594.0,,,,,
2018-01-12 00:00:00-05:00,13.1,13.29,13.1,13.22,43127237.0,44.15,44.7,43.66,44.07,12542256.0,,,,,,,,,,,136.69,137.2,136.38,137.19,75969.0,338.63,340.41,333.67,336.22,3787311.0
2018-01-16 00:00:00-05:00,13.31,13.48,13.01,13.1,43206076.0,45.1,45.52,43.75,44.19,16944922.0,,,,,,,,,,,139.2,139.5,137.59,137.92,200926.0,337.54,345.0,334.8,340.04,4636745.0
2018-01-17 00:00:00-05:00,12.58,12.58,12.1,12.18,119897646.0,44.01,44.27,43.4,44.04,10046221.0,,,,,,,,,,,140.16,140.99,139.65,140.72,301700.0,340.47,349.0,339.75,347.1,5127104.0
2018-01-18 00:00:00-05:00,12.18,12.2,12.02,12.065,53838333.0,44.18,44.19,43.64,43.85,6337067.0,,,,,,,,,,,139.27,139.31,138.41,138.63,131492.0,345.67,352.3,343.74,344.51,4323708.0
2018-01-19 00:00:00-05:00,12.12,12.12,11.91,12.0,44266542.0,44.05,44.09,43.04,43.14,11037040.0,,,,,,,,,,,139.89,140.31,139.36,139.86,137213.0,345.0,350.5899,342.6,349.965,3720984.0
2018-01-22 00:00:00-05:00,12.02,12.08,11.9,12.01,44716979.0,43.16,43.42,42.82,43.27,8113350.0,,,,,,,,,,,138.97,139.33,138.65,139.29,204996.0,349.44,357.83,349.2,351.6,4720515.0
2018-01-23 00:00:00-05:00,12.03,12.03,11.9,11.96,44265510.0,43.34,43.44,42.905,43.405,8489142.0,,,,,,,,,,,139.63,139.63,138.9001,139.2,128564.0,359.99,360.5,351.0,352.8,4165448.0
2018-01-24 00:00:00-05:00,12.0,12.08,11.92,12.05,56111574.0,43.5,44.4,43.45,44.17,9467191.0,,,,,,,,,,,139.51,139.665,138.5,139.03,166883.0,354.58,354.75,343.52,345.92,4076622.0
2018-01-25 00:00:00-05:00,11.93,11.93,11.44,11.58,107394990.0,44.46,44.48,42.975,43.17,9024882.0,,,,,,,,,,,139.44,139.44,137.71,138.16,224017.0,348.27,349.2,336.4,337.55,5265180.0
2018-01-26 00:00:00-05:00,11.59,11.7,11.5,11.645,47745437.0,43.32,43.565,42.99,43.48,6409579.0,,,,,,,,,,,139.35,139.75,138.9,139.39,260936.0,341.5,344.0,335.71,342.7001,3376888.0
2018-01-29 00:00:00-05:00,11.42,11.47,11.11,11.12,50373149.0,43.47,43.78,42.9824,43.01,6772086.0,,,,,,,,,,,139.95,140.46,139.4627,139.52,198270.0,339.85,350.85,338.28,349.339,3565674.0
2018-01-30 00:00:00-05:00,11.09,11.23,11.05,11.08,48628319.0,42.83,43.22,42.52,42.71,6164352.0,,,,,,,,,,,139.98,140.27,139.25,139.68,161313.0,345.14,348.27,342.17,345.82,3087924.0
2018-01-31 00:00:00-05:00,11.09,11.115,10.9,10.99,49860872.0,42.78,42.95,42.14,42.41,9238435.0,,,,,,,,,,,138.45,138.52,137.15,137.92,158392.0,347.51,356.19,345.19,354.46,4046230.0
2018-02-01 00:00:00-05:00,10.95,11.0,10.85,10.925,37758917.0,42.12,42.6,41.95,42.41,6820052.0,,,,,,,,,,,138.28,139.25,138.22,138.78,133035.0,351.0,359.66,348.63,349.25,3065835.0
2018-02-02 00:00:00-05:00,10.88,10.88,10.62,10.705,56162534.0,42.22,42.27,40.85,40.98,10513657.0,,,,,,,,,,,138.9,138.9899,136.59,136.59,184568.0,348.44,351.95,340.51,343.75,2730271.0
2018-02-05 00:00:00-05:00,10.78,10.8,10.24,10.245,88824440.0,40.98,41.67,39.51,39.5579,14557279.0,,,,,,,,,,,135.5,136.11,131.31,132.05,233080.0,337.97,344.47,333.0,333.15,3124163.0
2018-02-06 00:00:00-05:00,10.27,10.79,10.19,10.76,92646081.0,40.3,42.23,40.0,41.86,22743640.0,,,,,,,,,,,134.37,139.48,133.25,138.71,425803.0,325.21,336.22,323.5,333.97,3703402.0
